TABLE 6B - NEW PROCEDURE CODES
Procedure Code	Description	O.R.	MDC	MS-DRG
""			24	957, 958, 959
""				981, 982, 983
0RRJ008*	Replacement of Right Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Subscapularis-sparing Technique, Open Approach	Y	08	483
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0RRJ0J8*	Replacement of Right Shoulder Joint with Synthetic Substitute, Subscapularis-sparing Technique, Open Approach	Y	08	483
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0RRK008*	Replacement of Left Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Subscapularis-sparing Technique, Open Approach	Y	08	483
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0RRK0J8*	Replacement of Left Shoulder Joint with Synthetic Substitute, Subscapularis-sparing Technique, Open Approach	Y	08	483
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRC07D*	Replacement of Right Knee Joint with Autologous Tissue Substitute, Medial Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRC07E*	Replacement of Right Knee Joint with Autologous Tissue Substitute, Lateral Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRC0KD*	Replacement of Right Knee Joint with Nonautologous Tissue Substitute, Medial Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRC0KE*	Replacement of Right Knee Joint with Nonautologous Tissue Substitute, Lateral Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRD07D*	Replacement of Left Knee Joint with Autologous Tissue Substitute, Medial Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRD07E*	Replacement of Left Knee Joint with Autologous Tissue Substitute, Lateral Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRD0KD*	Replacement of Left Knee Joint with Nonautologous Tissue Substitute, Medial Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0SRD0KE*	Replacement of Left Knee Joint with Nonautologous Tissue Substitute, Lateral Meniscus, Open Approach	Y	08	461, 462, 469, 470
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT00Z0^	Resection of Right Kidney, Open Approach, Allogeneic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT00Z1^	Resection of Right Kidney, Open Approach, Syngeneic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT00Z2^	Resection of Right Kidney, Open Approach, Zooplastic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT10Z0^	Resection of Left Kidney, Open Approach, Allogeneic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT10Z1^	Resection of Left Kidney, Open Approach, Syngeneic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0TT10Z2^	Resection of Left Kidney, Open Approach, Zooplastic	Y	11	656, 657, 658, 659, 660, 661
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0U7C7DJ^	Dilation of Cervix with Intraluminal Device, Temporary, Via Natural or Artificial Opening	N		
10D10ZZ^	Extraction of Products of Conception, Retained, Open Approach	Y	14	770, 796, 797, 798
""				981, 982, 983
3E0U0GC^	Introduction of Other Therapeutic Substance into Joints, Open Approach	N		
5A05A6M*	Intraoperative Cerebral Embolic Filtration, Single Capture Filter	N		
5A05A6N*	Intraoperative Cerebral Embolic Filtration, Dual Capture Filter	N		
5A05A6P*	Intraoperative Cerebral Embolic Filtration, Single Deflection Filter	N		
5A05A6Q*	Intraoperative Cerebral Embolic Filtration, Extracorporeal Flow Reversal Circuit	N		
6A4T00A	Hypothermia of Urinary System using Donor Organ Protective Thermal Insulation, Single, Intraoperative	N		
8E0ZXGP*	External Confocal Microscopy, Intraoperative Specimen Analysis	N		
D228DZZ^	Stereotactic Other Photon Radiosurgery of Conduction Mechanism	N**	05	317
F08D5AZ	Wound Management Treatment of Integumentary System - Head and Neck using Negative Pressure Therapy	N**	23	945, 946
F08F5AZ	Wound Management Treatment of Integumentary System - Upper Back / Upper Extremity using Negative Pressure Therapy	N**	23	945, 946
F08G5AZ	Wound Management Treatment of Integumentary System - Lower Back / Lower Extremity using Negative Pressure Therapy	N**	23	945, 946
F08H5AZ	Wound Management Treatment of Integumentary System - Whole Body using Negative Pressure Therapy	N**	23	945, 946
F08J5AZ	Wound Management Treatment of Musculoskeletal System - Head and Neck using Negative Pressure Therapy	N**	23	945, 946
F08K5AZ	Wound Management Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Negative Pressure Therapy	N**	23	945, 946
F08L5AZ	Wound Management Treatment of Musculoskeletal System - Lower Back / Lower Extremity using Negative Pressure Therapy	N**	23	945, 946
F08M5AZ	Wound Management Treatment of Musculoskeletal System - Whole Body using Negative Pressure Therapy	N**	23	945, 946
X05233B*	Destruction of Thoracic Sympathetic Nerve, Cardiac Plexus using Radiofrequency Ablation, Percutaneous Approach, New Technology Group 11	Y	01	040, 041, 042
""			05	264
""				981, 982, 983
X053X4B*	Destruction of Brain using Focused Ultrasound Therapy, External Approach, New Technology Group 11	Y	01	025, 026, 027
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	955
""				987, 988, 989
X27339B*	Dilation of Right Pulmonary Artery with Expandable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27439B*	Dilation of Left Pulmonary Artery with Expandable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27535B*	Dilation of Right Subclavian Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27635B*	Dilation of Left Subclavian Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27735B*	Dilation of Right Axillary Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27835B*	Dilation of Left Axillary Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27935B*	Dilation of Right Brachial Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27A35B*	Dilation of Left Brachial Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27B35B*	Dilation of Right Basilic Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27C35B*	Dilation of Left Basilic Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27D35B*	Dilation of Right Cephalic Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27E35B*	Dilation of Left Cephalic Vein with Cell Impermeable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	01	037, 038, 039
""			04	166, 167, 168
""			05	252, 253, 254
""			06	356, 357, 358
""			07	423, 424, 425
""			08	515, 516, 517
""			09	579, 580, 581
""			10	628, 629, 630
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
X27W39B*	Dilation of Thoracic Aorta, Descending with Expandable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X27X39B*	Dilation of Thoracic Aorta, Ascending/Arch with Expandable Intraluminal Device, Percutaneous Approach, New Technology Group 11	Y	05	252, 253, 254
""				981, 982, 983
X28F3WB*	Division of Aortic Valve using Leaflet Laceration, Radiofrequency Energy, Percutaneous Approach, New Technology Group 11	Y	05	319, 320
""				981, 982, 983
X2AH34B*	Right Common Carotid Artery Cerebral Embolic Filtration, Single Integrated Distal Filter, Percutaneous Approach, New Technology Group 11	N		
X2AJ34B*	Left Common Carotid Artery Cerebral Embolic Filtration, Single Integrated Distal Filter, Percutaneous Approach, New Technology Group 11	N		
X2AK34B*	Right Internal Carotid Artery Cerebral Embolic Filtration, Single Integrated Distal Filter, Percutaneous Approach, New Technology Group 11	N		
X2AL34B*	Left Internal Carotid Artery Cerebral Embolic Filtration, Single Integrated Distal Filter, Percutaneous Approach, New Technology Group 11	N		
X2H03BB*	Insertion of Volume Sensor Management Device into Inferior Vena Cava, Percutaneous Approach, New Technology Group 11	N		
X2H13XB	Insertion of Temporary Phrenic Nerve/Diaphragm Stimulation Electrodes into Superior Vena Cava, Percutaneous Approach, New Technology Group 11	Y	05	264
""				981, 982, 983
X2HN37B*	Insertion of Endocardiac Pacing Electrode into Left Ventricle, Percutaneous Approach, New Technology Group 11	Y	05	264
""				981, 982, 983
X2HP38B*	Insertion of Temporary Intraluminal Device into Right Anterior Tibial Artery, Percutaneous Approach, New Technology Group 11	N		
X2HQ38B*	Insertion of Temporary Intraluminal Device into Left Anterior Tibial Artery, Percutaneous Approach, New Technology Group 11	N		
X2HR38B*	Insertion of Temporary Intraluminal Device into Right Posterior Tibial Artery, Percutaneous Approach, New Technology Group 11	N		
X2HS38B*	Insertion of Temporary Intraluminal Device into Left Posterior Tibial Artery, Percutaneous Approach, New Technology Group 11	N		
X2HT38B*	Insertion of Temporary Intraluminal Device into Right Peroneal Artery, Percutaneous Approach, New Technology Group 11	N		
X2HU38B*	Insertion of Temporary Intraluminal Device into Left Peroneal Artery, Percutaneous Approach, New Technology Group 11	N		
X2KA30A^	Bypass Left Atrium using Conduit through Coronary Sinus to Right Atrium, Percutaneous Approach, New Technology Group 10	Y	05	270, 271, 272
""			21	907, 908, 909
""				981, 982, 983
X2U93YA^	Supplement Right Atrium with Intraluminal Device, Heterotopic Bioprosthetic Valve(s), Percutaneous Approach, New Technology Group 10	Y	05	266, 267
""				981, 982, 983
X2VY06B*	Restriction of Thoracic Aortic Arch and Descending Thoracic Aorta using Uncovered Intraluminal Device with Support Cuff, Open Approach, New Technology Group 11	Y	05	209, 212, 216, 217, 218, 219, 220, 221
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XDJ07LB*	Inspection of Upper Intestinal Tract using Ingestible Capsule with Light Absorption Sensor, Via Natural or Artificial Opening, New Technology Group 11	N		
XHH80HB*	Insertion of Ultrasound Transmitter and Battery for Endocardiac Pacing Electrode into Chest Subcutaneous Tissue and Fascia, Open Approach, New Technology Group 11	N**	05	258, 259
XNH60HB*	Insertion of Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device into Right Pelvic Bone, Open Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNH63HB*	Insertion of Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device into Right Pelvic Bone, Percutaneous Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNH70HB*	Insertion of Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device into Left Pelvic Bone, Open Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNH73HB*	Insertion of Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device into Left Pelvic Bone, Percutaneous Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS40GA^	Reposition Right Humeral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS43GA^	Reposition Right Humeral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS50GA^	Reposition Left Humeral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS53GA^	Reposition Left Humeral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS60GA^	Reposition Right Radius with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS63GA^	Reposition Right Radius with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS70GA^	Reposition Left Radius with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS73GA^	Reposition Left Radius with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS80GA^	Reposition Right Ulna with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS83GA^	Reposition Right Ulna with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS90GA^	Reposition Left Ulna with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNS93GA^	Reposition Left Ulna with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	510, 511, 512
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSA0GA^	Reposition Right Upper Femur with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSA3GA^	Reposition Right Upper Femur with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSB0GA^	Reposition Left Upper Femur with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
