TABLE 6A - NEW DIAGNOSIS CODES
Diagnosis Code	Description	CC	MDC	MS-DRG
L98.A114	Non-pressure chronic ulcer of right upper arm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A115	Non-pressure chronic ulcer of right upper arm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A116	Non-pressure chronic ulcer of right upper arm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A118	Non-pressure chronic ulcer of right upper arm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A119	Non-pressure chronic ulcer of right upper arm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A121	Non-pressure chronic ulcer of left upper arm limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
L98.A122	Non-pressure chronic ulcer of left upper arm with fat layer exposed	N	09	573, 574, 575, 592, 593, 594
L98.A123	Non-pressure chronic ulcer of left upper arm with necrosis of muscle	C	09	573, 574, 575, 592, 593, 594
L98.A124	Non-pressure chronic ulcer of left upper arm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A125	Non-pressure chronic ulcer of left upper arm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A126	Non-pressure chronic ulcer of left upper arm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A128	Non-pressure chronic ulcer of left upper arm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A129	Non-pressure chronic ulcer of left upper arm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A191	Non-pressure chronic ulcer of unspecified upper arm limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
L98.A192	Non-pressure chronic ulcer of unspecified upper arm with fat layer exposed	N	09	573, 574, 575, 592, 593, 594
L98.A193	Non-pressure chronic ulcer of unspecified upper arm with necrosis of muscle	C	09	573, 574, 575, 592, 593, 594
L98.A194	Non-pressure chronic ulcer of unspecified upper arm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A195	Non-pressure chronic ulcer of unspecified upper arm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A196	Non-pressure chronic ulcer of unspecified upper arm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A198	Non-pressure chronic ulcer of unspecified upper arm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A199	Non-pressure chronic ulcer of unspecified upper arm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A211	Non-pressure chronic ulcer of right forearm limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
L98.A212	Non-pressure chronic ulcer of right forearm with fat layer exposed	N	09	573, 574, 575, 592, 593, 594
L98.A213	Non-pressure chronic ulcer of right forearm with necrosis of muscle	C	09	573, 574, 575, 592, 593, 594
L98.A214	Non-pressure chronic ulcer of right forearm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A215	Non-pressure chronic ulcer of right forearm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A216	Non-pressure chronic ulcer of right forearm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A218	Non-pressure chronic ulcer of right forearm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A219	Non-pressure chronic ulcer of right forearm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A221	Non-pressure chronic ulcer of left forearm limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
L98.A222	Non-pressure chronic ulcer of left forearm with fat layer exposed	N	09	573, 574, 575, 592, 593, 594
L98.A223	Non-pressure chronic ulcer of left forearm with necrosis of muscle	C	09	573, 574, 575, 592, 593, 594
L98.A224	Non-pressure chronic ulcer of left forearm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A225	Non-pressure chronic ulcer of left forearm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A226	Non-pressure chronic ulcer of left forearm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A228	Non-pressure chronic ulcer of left forearm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A229	Non-pressure chronic ulcer of left forearm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A291	Non-pressure chronic ulcer of unspecified forearm limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
L98.A292	Non-pressure chronic ulcer of unspecified forearm with fat layer exposed	N	09	573, 574, 575, 592, 593, 594
L98.A293	Non-pressure chronic ulcer of unspecified forearm with necrosis of muscle	C	09	573, 574, 575, 592, 593, 594
L98.A294	Non-pressure chronic ulcer of unspecified forearm with necrosis of bone	C	09	573, 574, 575, 592, 593, 594
L98.A295	Non-pressure chronic ulcer of unspecified forearm with muscle involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A296	Non-pressure chronic ulcer of unspecified forearm with bone involvement without evidence of necrosis	C	09	573, 574, 575, 592, 593, 594
L98.A298	Non-pressure chronic ulcer of unspecified forearm with other specified severity	C	09	573, 574, 575, 592, 593, 594
L98.A299	Non-pressure chronic ulcer of unspecified forearm with unspecified severity	N	09	573, 574, 575, 592, 593, 594
L98.A311	Non-pressure chronic ulcer of right hand limited to breakdown of skin	N	09	573, 574, 575, 592, 593, 594
