DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,33.0,0.3583061889250814,233.0,0.07472762901741187,4007,0.08090894240684618,0.2773972465182353,0.28357855990766956,4.428511586807777
250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC,12.0,0.13029315960912052,12.0,0.0038486332541156324,190,0.003836460957649308,0.12645669865147122,0.1264445263550049,33.961810389165095
252,OTHER VASCULAR PROCEDURES WITH MCC,28.0,0.30401737242128124,901.0,0.28896821349651536,14681,0.29643728062762886,0.007580091793652377,0.015049158924765882,1.02557064272619
253,OTHER VASCULAR PROCEDURES WITH CC,22.0,0.23887079261672098,593.0,0.19018662664088082,10909,0.22027343466840157,0.018597357948319404,0.04868416597584016,1.0844285103027325
254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,13.0,0.14115092290988057,136.0,0.04361784354664383,1543,0.0311561013560678,0.10999482155381277,0.09753307936323674,4.530442409874583
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,11.0,0.11943539630836049,167.0,0.05356014611977588,2915,0.058859387850251216,0.06057600845810927,0.06587525018858462,2.029164771679676
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,37.0,0.4017372421281217,1414.0,0.4534972851099587,23630,0.4771345917329113,-0.07539734960478961,-0.05176004298183701,0.8419788652695396
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,109.0,1.1834961997828448,1802.0,0.5779364269930307,39606,0.7997203825718866,0.3837758172109582,0.6055597727898141,1.4798875026502913
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,19.0,0.2062975027144408,484.0,0.15522820791599717,6645,0.13417517401884024,0.07212232869560056,0.05106929479844363,1.537523645659468
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,35.0,0.3800217155266015,606.0,0.1943559793328394,11400,0.23018765745895847,0.14983405806764305,0.18566573619376212,1.650921338362192
